case_id,judgment_date,judgment_year,court_name,case_number,case_name,domain,n_chars,mu_F,mu_T,pi_V,pi_C,pi_H,pi_M,H_star,mu_total,pi_total,lambda_E,lambda_M,lambda_P,sa_survey,sa_stat,sa_norm,mu_LS,has_sa_any,post_minpou_2020,court_layer,period,pi_C_v2,mu_T_v2,pi_V_v2,pi_total_v2,mu_total_v2
085587_hanrei,2015-08-26,2015,地方裁判所,平成26年(ワ)第8174号,特許権移転登録手続請求事件,commercial,28604,0.034960145434205,0.034960145434205,0.0,0.0,0.0,0.0,0.0,0.06992029086841,0.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0,0,district,2015-2019,0.034960145434205,0.10488043630261502,0.13984058173682,0.17480072717102502,0.13984058173682
085622_hanrei,2015-12-04,2015,最高裁判所第二小法廷,平成25年(あ)第1126号,"殺人,銃砲刀剣類所持等取締法違反,詐欺被告事件",criminal,1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0,0,supreme,2015-2019,0.0,0.0,0.8503401360544217,0.8503401360544217,0.0
085601_hanrei,2015-10-27,2015,地方裁判所,平成26年(ワ)第11576号,意匠権侵害差止等請求事件,civil,24262,0.12365015250185475,0.0,0.0,0.0,0.329733740004946,0.0,0.164866870002473,0.12365015250185475,0.329733740004946,0.25,0.0,0.75,0.0,1.6898854175253484,0.04121671750061825,1.7311021350259665,1,0,district,2015-2019,0.04121671750061825,0.0,0.2473003050037095,0.6182507625092737,0.12365015250185475
085811_hanrei,2015-06-15,2015,事件(東京地方裁判所,平成27年(行ス)第39号,執行停止申立却下決定に対する抗告事件,civil,2091,0.4782400765184122,0.0,0.0,0.0,0.0,0.0,0.0,0.4782400765184122,0.0,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0,0,district,2015-2019,0.4782400765184122,0.0,0.4782400765184122,0.9564801530368244,0.4782400765184122
085949_hanrei,2015-10-08,2015,,,,civil,4271,0.23413720440177943,0.0,0.0,0.0,0.0,0.0,0.0,0.23413720440177943,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,unknown,2015-2019,0.23413720440177943,0.23413720440177943,0.46827440880355886,0.7024116132053383,0.46827440880355886
085551_hanrei,2015-09-17,2015,地方裁判所,平成27年(ワ)第2587号,不正競争防止法違反行為差止等請求事件,civil,9283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.39999999999999997,0.0,0.8617903694926209,0.21544759237315522,1.0772379618657761,1,0,district,2015-2019,0.21544759237315522,0.3231713885597328,0.6463427771194656,0.8617903694926209,0.3231713885597328
085560_hanrei,2015-11-11,2015,知的財産高等裁判所,平成27年(行ケ)第10055号,審決取消請求事件,commercial,46117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.4999999999999999,0.0,0.0,0.021683977708870917,0.021683977708870917,1,0,ip_high,2015-2019,0.021683977708870917,0.0,0.17347182167096734,0.19515579937983826,0.0
085558_hanrei,2015-11-02,2015,原審・東京地方裁判所,平成26年(ネ)第10124号,特許権侵害差止等請求控訴事件,commercial,27951,0.0,0.0,0.0,0.0,0.0,0.03577689528102751,0.0,0.0,0.03577689528102751,0.75,0.0,0.25000000000000006,0.0,0.03577689528102751,0.0,0.03577689528102751,1,0,district,2015-2019,0.03577689528102751,0.0,0.03577689528102751,0.10733068584308253,0.0
086092_hanrei,2015-09-29,2015,東京地方裁判所,平成27年(ネ)第10046号,損害賠償等請求控訴事件,civil,18143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.11023535247753954,0.16535302871630933,0.2755883811938489,1,0,district,2015-2019,0.16535302871630933,0.2755883811938489,0.6614121148652373,0.8267651435815466,0.2755883811938489
085546_hanrei,2015-12-16,2015,最高裁判所大法廷,平成26年(オ)第1023号,損害賠償請求事件,civil,22081,0.09057560798876862,0.0,0.09057560798876862,0.0,0.0,0.04528780399438431,0.0,0.09057560798876862,0.13586341198315294,0.017543859649122806,0.05263157894736842,0.9298245614035087,0.0,0.18115121597753725,0.09057560798876862,0.2717268239663059,1,0,supreme,2015-2019,1.6756487477922195,2.0832389837416785,2.8078438476518275,4.528780399438431,2.173814591730447
